id_u,name,intro,platform,following_count,follower_count,posts
twitter/14089839,🇺🇦ScottBlocks Stupid MAGAts🇺🇸,#HarrisWalz2024 Trump lost LOL Woke AF #BlueCrew #Resist #BLM #GoodTrouble #OneV1 #DemVoice1 #DemsUnited #ProudBlue #ResistanceUnited -❤️@monalizza,twitter,25399,30162,210946
twitter/1438900783584477185,LOH,"",twitter,86,57,1025
twitter/47645083,Carly Weeks,"Vice-president of communications, public affairs and stakeholder relations at St. Joseph’s Healthcare Hamilton, former health journalist at The Globe and Mail",twitter,2600,19358,11208
twitter/3294036491,Endless Capit🅰️l,**Nothing I tweet is investment advice**,twitter,1109,31731,41096
twitter/1242924470978969605,D-LIB,A Democrat and a Liberal. MAGA people need not apply. I CAN and WILL BLOCK YOU. Long live democracy.,twitter,19468,29605,79
twitter/2169963714,Mike,约翰福音14:6 耶 稣 说 ：“我 就 是 道 路 、 真 理 、 生 命 ； 若 不 藉 着 我 ， 没 有 人 能 到 父 那 里 去” 。 YouTube频道，《孤独的视角》。https://t.co/Iu6Q2ecaqS,twitter,204,994,3632
twitter/56034729,Dawn Wei Tan,Senior Columnist @straits_times. I write mostly about China and its relations with the world. Formerly The Straits Times' China Bureau Chief. dawntan@sph.com.sg,twitter,1549,3478,570
twitter/39257690,ICE,"Civil engineers shaping the world. News and updates from the Institution of Civil Engineers (ICE), representing more than 97,000 members worldwide.",twitter,3227,62606,22238
twitter/1212487844565934080,Ben Schaeffer,Sayonara,twitter,2369,1491,21849
twitter/1542849981933133828,Louis【软饭天团】,玩归玩，闹归闹 傻逼玩意请绕道 男同也给我滚😡,twitter,3917,1423,19521
twitter/4871096265,Mary Ann Minnich,"Grassroots advocate for President Donald J Trump/Former Diplomat Chennai,India🇮🇳#SecureTheBorder#TermLimits NRSC/NRCC/JW⚖️Heritage FoundationVOTER🆔🗣🎵🇺🇸🪬",twitter,18903,19566,120112
twitter/47646735,Yousef Munayyer,"Baba. Poli Sci PhD. Thinks outside tanks, laughs at hasbara, stops pucks. Mid East, Social Justice & Sports  Opinions Mine. I block trolls.",twitter,4343,136324,77364
twitter/4837542117,朱茉颜,看尽世间百态,twitter,156,100,333
twitter/1968638208,Stephen C,I wasn't even supposed to be here today,twitter,68147,76643,8347
twitter/1239169342857719808,simone0511-1,"",twitter,250,42,737
twitter/1204592514138808320,Duke of Dank 🇻🇦🇻🇦🇻🇦🇻🇦,"Pope Leo XIV = Gigachad Groypers, NIMBYs, and Vatniks should be deported. Eisenhower Republican Tariffs are gay.",twitter,2121,1677,138467
twitter/1725369044,George CantStandYa blocked by Rudy🌊🌊🏳️‍🌈🆘,"LGBT self employed business owner dog mom to a house full of rescues cuss a lot Yellow Dog Dem  Minister of Silly Walks Adopt. Don't shop. #BLM Not a dude, dude",twitter,6013,5442,89540
twitter/1109103611210981376,Leon🇺🇸🇦🇺███Proud Trump Supporter，#Trump2020,在美澳大利亚人，gop donor，god bless USA,twitter,675,721,7885
twitter/467078420,We failed our national IQ test,"Left wing extremist who believes every vote should count, women should be free to choose and black lives matter. #FBR #TuckFrump",twitter,7856,7256,5708
twitter/1314121869314973699,Ruth 007,We need to stop the Fox News propaganda machine! It's indoctrinated millions of Americans who can't/don't think for themselves. Justice & Liberty is for ALL!,twitter,7498,4384,74900
twitter/2195131778,Patrick Lim,An image storyteller who wants true peace in the world,twitter,399,197,10195
twitter/1062452501516034048,🌺Sweet Wahine🌺,"Love God, family, country, and @Cubs♥️ #MAGA 🇺🇸 #2A #FJB #LFG #unvaccinated 🚫DMs",twitter,7485,5944,13147
twitter/1583176820639338676,Leon,"love ocean and beach vacation, diving",twitter,198,261,5539
twitter/207032853,Echo,"You always think there is still time, and that's the problem.  Time will never change and  stop for any person.",twitter,10160,9956,175
twitter/1464477007253753859,Marie,"Bezorgde moeder, hardwerkend zelfstandig ondernemer, principe mens, krijgt pukkels v onrecht, allergisch voor kartel, gooit er soms wat humor en ironie in. 🇳🇱",twitter,8630,13568,63618
twitter/14095216,Jim Pfaff,"President, The Conservative Caucus. @TCCaucus. https://t.co/HWf9IPIAgg. Married to @MyraKinser 🇺🇸🇺🇸🇺🇸 2️⃣2️⃣ 🇧🇷🇮🇪",twitter,6736,62523,56529
twitter/81204084,vivo,"",twitter,808,2370,962
twitter/1321232439574892545,丸大商店工機部,逆に考えた事無い？ワクチンのためにコロナウイルスが誕生🦠した。でなぎゃ，なんで全世界強制的に打つわけ？,twitter,512,225,8261
twitter/558012808,Moderate,"Common sense supporter, god is watching; 支持正常思维, 深信多行不义必自毙",twitter,80,224,8286
twitter/942826806192861185,Sara✌️💙🍉peaceFOReveryone,ANIMALS❤ CHEF 🍽 Nature💚 F** TRUMP 💀RESISTANCE🌊 🌷 ✨animals 🐾 #AdoptDontShop🐾l'amour est un oiseaux rebelle🫆 #HindRajab🌺#KNEECAP🤟😜#CeasefireNOW,twitter,56778,61081,815552
twitter/3830912607,Suzzanne Monk 🇺🇲,"Camp director of Camp Demand Results.  Founder, #PardonAid #J6PardonProject",twitter,7365,33704,60859
twitter/1420902205104615425,ez 梅,"in places you can't pronounce, eating things you can't afford (eggs)",twitter,549,427,47248
twitter/1116313997463183363,Fred Seiltgen,🐊 Writer @ RECOIL | The Armory Life | Soldier of Fortune | Florida Jolt | Off Grid | We Are The Mighty | American Thinker |,twitter,8610,8082,74697
twitter/800397253701615616,Dolores,"A Sci-fi nerd.  Love Rock & Roll. Kant. AGI.  Buddhologist. Maybe. Long-term attention to the combination of AI and Games, and the application of IP",twitter,374,3665,2180
twitter/240588761,ss000tt,"",twitter,505,37,131
twitter/408360989,Deeyah Khan,"Emmy, BAFTA, Peabody & RTS award winning documentary filmmaker. @UNESCO Goodwill Ambassador. CEO @Fuuse & founder @sister_hood_mag",twitter,16780,49558,78705
twitter/14096763,Joe Weisenthal,One half of Bloomberg's Odd Lots Podcast. One quarter of Light Sweet Crude.,twitter,6292,415976,443250
twitter/1851448408185454592,Bi Xia（互关）,涨粉，互关🇨🇳！ 不定期清理未关者🙅 黄赌毒币请远离…,twitter,5173,4722,2705
twitter/1649876054,维吾尔时报中文 （维吾尔之声）,维吾尔时报 (Uyghur Times) 中文，维吾尔之声-位于华盛顿特区的多语种，专注于人权的独立媒体。我们传播关于维吾尔种族灭绝的新闻和事实动态，海外维吾尔维权和独立运动以及相关国际反应,twitter,272,24217,9659
twitter/792047883486978048,Anderson🇺🇦,"",twitter,1685,681,44785
twitter/1441853474874875905,Shelby,Make no peace with evil.,twitter,1098,23856,4905
twitter/1599087751307046913,Xavier Roder,Governments become criminal organizations when they selectively enforce the law,twitter,6402,5309,138930
twitter/30875418,Missouri GOP,Official Twitter account of the Missouri Republican Party. Our State. Our Party. Our Future. Support: https://t.co/ENZB8tBd6l,twitter,3590,21753,24939
twitter/89595807,艾晓明,艾晓明，广州中山大学中文系教授，2008年底退休；纪录片工作者。影片代表作有：《天堂花园》、《太石村》、《中原纪事》、《关爱之家》、《开往家乡的列车》、《我们的娃娃》、《公民调查》、《花儿为什么这样红》、《国家的敌人》、《让阳光洒到地上》、《乌坎三日》等。2017年完成历史纪录长片《夹边沟祭事》。,twitter,979,72557,7819
twitter/1444378380267229185,Britt Nessie,"VOTE BLUE, WOKE , Democrat, Capitalist, Progressive, End GQP Authoritarianism, Liberal, BLM/ COLIN !  Slava Ukraini !  Fuck Putin / NRA !  RESTORE ROE !",twitter,26808,29817,673077
twitter/114761840,Erin Moon,IT Project Manager | YouTube Host @celebwhogive🎗,twitter,16694,52694,44087
twitter/14099477,indi.ca,Indi Samarajiva is a Sri Lankan blogger at https://t.co/8qmkNy6EmF.,twitter,1293,28191,33616
twitter/89596999,冯正虎,护宪维权，快乐生活。,twitter,1919,97326,12172
twitter/1188076107540492288,沧海一声笑,听歌,twitter,1062,133,4949
twitter/1165132993540681730,Yuki,转                      大家在盘丝洞里聊自信，都说不自信，问我，我说我非常自信。冰火一撇嘴说：切！你以为人人都喜欢你啊？我说：你错了冰火，以为人人都喜欢自己的那不是自信，是二百五，自信是喜欢不喜欢自己都没关系。,twitter,2806,984,54801
twitter/475474157,阳光突发,想知道中文类推特（微博）上发生了什么新闻？关注这个账号就可以了。搜集、整理及发布中文新媒体平台上出现的动态事件信息，由《阳光卫视》及《阳光时务》维护。G+：http://t.co/SfmKuomW9J,twitter,119,3406,695
twitter/1831539369376882688,宁作我💯Fo（冲5000粉）关必回！,热爱生活热爱学习热爱一切美的事物！,twitter,2370,2839,575
twitter/14101483,Jemma,"Artist, cat fan. The rules have changed and former 'liberals' have discovered, overnight, that they're conservatives. Astounding times.",twitter,22013,20700,527071
twitter/1240334933387702272,婉婷,"",twitter,0,817,4953
twitter/720139699,Hanna Liubakova,Exiled Belarusian journalist Non-resident senior fellow @AtlanticCouncil @OneYoungWorld Journalist of the Year @TLN_DC Freedom of the Media Award Wanted in 🇷🇺,twitter,1483,130292,24825
twitter/1136917540859469825,Alexs🥇,Journalist & political commentator. Sharing the latest global news and personal insights on international hot topics. Retweets and likes ≠ endorsement.,twitter,2708,2985,4106
twitter/1347891486,🇺🇸 🦅 SUSIE 🦅 🇺🇸,"",twitter,2993,1265,20458
twitter/1455821491543683072,Victor B Greenwood,"Asperger's - a better future for my children - be honest, kind and make people smile - individual sovereignty for everyone - no social filters - freedom - No DM",twitter,7940,16719,786358
twitter/1124470310818856960,树支,Greetings!,twitter,2127,202,1553
twitter/1610660033599242240,Bruce,生活在恐惧和不安全之中。 如果我哪天不在了，希望你们不要想我。,twitter,476,973,1377
twitter/1387096368565538821,Williamsong,"Where there is a William, there is a way!",twitter,541,214,2621
twitter/1522621022096150533,DotCarol,"FREEDOM OF SPEECH is 1A for a reason.  Conservative Grandma wanting a decent world for my grandkids. Anti-woke. Websters provides definitions, not liberals.",twitter,4892,4665,30607
twitter/358038216,chen yonglin,"陈用林, Campaign Coordinator of ANZ Alliance for Victims of the Chinese Communist Regime ( former diplomat of the evil Chinese Communist Regime) .",twitter,742,2662,5267
twitter/1153398416262590464,🦌🐖 Deplorable Honkey 🎣🦃,"US Army Vet,♋️ since 2016,✝️ First. Hunting fishing, trapping wanna be farmer anything outdoors. Independent who leans libertarian. #TexitNow",twitter,19306,20541,129731
twitter/1519083348903305216,darkangel7215,"Broken crayons still color.. Politically Incorrect. Remember, the more u cry, the less u pee.. 😂🤣😂🤣🤣🤣🤣🤣🤣🤣Gen X guy",twitter,4686,1664,13145
twitter/1259016819446333440,VidaEquilibrada,"👩‍👦Mi madre y yo, compartimos frases, reflexiones y juegos para tener una vida saludable y feliz. Visibilizamos la importancia de la salud mental(◍•ᴗ•◍)❤🧠💪.",twitter,33167,217117,18362
twitter/1520540197028474880,Paulette Williams,I'm here to try to help wake people up and keep up with all that's happening these days in our country/world.,twitter,4841,2404,14751
twitter/351269352,Naomi Hossain,"@SOASDevelopment Professor. I write and post about accountability, the politics of development, & Bangladesh, but don't let that put you off.",twitter,6377,12294,15549
twitter/1518764155016294400,Proudly Ultra MAGA,"Si Vis Pacem, Para Bellum. Retired Law Enforcement. Country over Party. IFBAP. #MAGA #MAHA 🇺🇸🇺🇸🇺🇸",twitter,9062,9116,51760
twitter/1657879391274250240,Kirk McDonald II,"blue collar, hard working since 14, and pissed off at what the evil left has done to our children and country.  Please no DMs. #DeSantis #NewFederalist",twitter,1767,1715,57561
twitter/1167642785601638400,BlackS,不驕不躁不吃药,twitter,711,101,2342
twitter/1468481874251362304,辉小志,瞎捣鼓的程序员，探索被动收入，梦想财务自由🥰,twitter,2444,6144,2889
twitter/1642121303175081986,Chris Chang,丈夫，父亲，儿子，野生无门派基督徒。,twitter,144,23,200
twitter/492256905,Aaron Mc Nicholas,Alumnus of @asianstudiesgu. Five years in Hong Kong. Formerly with @thewirechina @business @Storyful.,twitter,2049,33963,12131
twitter/1379474137551417346,Brianna Price🇺🇸🦅,•Conservative• •26• •Pro 2A• •Metal Head• •Proud Patriot• •Weird• •ADHD• •Sassy Badass• •Smartass• ❤️🤍💙,twitter,11354,14030,73900
twitter/22495024,Daryl Hannah,love life xo dh,twitter,2213,66994,33130
twitter/14106476,KyivPost,The award-winning Kyiv Post is the top international source of English-language news about Ukraine since 1995.  Online media registration number: R40-05383,twitter,1607,396717,84219
twitter/1867988988,Rafa Schwinger 🇻🇦,Physics mad scientist | Meme therapist fren | The best analyst on X | I know your field better than you do.,twitter,2412,4353,52781
twitter/265765169,Aaron99旅,Marine Corps from Taiwan R.O.C  🇹🇼  金甲一身，社稷扛肩,twitter,588,43,12802
twitter/1573727838305329152,STOPTHE MAGAS,"Baseball, Football, Bowling, Shooting, Movies,Eating Out, Interested in trying new beers, Trying Tequila, Bourbon, Vodka, Rye. Trying to make our country better",twitter,7499,5262,126072
twitter/1782932905419046912,老鼠帮助老鼠🐭☝️,大鼠王（老鼠国王）,twitter,490,94634,972
twitter/190268262,Donal Wood,"100% biodegradable, child friendly, contains alcohol, may explode if charged, 80% fat free, do not leave unattended, dispose of responsibly.",twitter,3023,1124,21179
twitter/1315464604277829632,fatbuffalo,need to finish reading theory,twitter,903,1402,24528
twitter/1349556345113030657,dandy,🇺🇸 | ✝️ | Conservative | Gen❎ | 8thGen American🇺🇸 | WPS‼️ | 🚫DM’s,twitter,15550,18550,41723
twitter/1585113211476459522,悠然怡梦（100%互fo，冲10000粉）,美的使者！分享美景美食美人，有粉必回，互fo互赞，真诚交友。部分作品来源于网络，侵删!,twitter,8626,8616,3338
twitter/720680424234557440,Linmi,探索未知，迭代新知，沉淀认知｜Notion 中文社区负责人｜探索项目管理 ｜Twitter 是笔记 ｜帮助小产品增长,twitter,456,49432,3834
twitter/173492488,兰志学,人权律师    友情提示：  1警惕借维权之机沽名钓誉的伪维权者，  2揭露维权过程中愚弄公众视听的伪善者，  3鄙视和谴责那种置当事人利益于不顾、利用当事人的善心达到其卑劣目的的伪人权律师！  以上，对于公民社会的进步和成熟同等重要！,twitter,1054,3435,4192
twitter/1525627166595043329,vigorxu,AIGC 布道者 🖖  AI 产品蝗虫 🦗 web3 抄底师 🤡  自媒体运营菜鸡 🐔  魂类游戏玩家 🌞  焦虑失眠患者 🥺  公众号：「懂点儿AI」,twitter,909,8863,1324
twitter/341265203,Zachary Hayes,"Associate, AxAdvocacy/Axiom Strategies | Clark County GOP Trustee | Fmr. Campaign Manager, John Kovacs for Congress | Pepperdine School of Public Policy",twitter,5753,1758,21454
twitter/433540042,علي,The truth will set you free❗️,twitter,25298,125711,32876
twitter/1708488500629114880,Love ♡,Fᴏʟʟᴏᴡ ᴀɴᴅ ᴛᴜʀɴ ᴏɴ ᴛʜᴇ ɴᴏᴛɪғɪᴄᴀᴛɪᴏɴ 🔔,twitter,5057,9969,11931
twitter/1489529822296838144,𝕷𝖚𝖝🏳️‍⚧️,"Je me présente: je m'appelle Lux, je suis Étudiant universitaire. J'habite à Shanghai. Mes passe-temps sont la philosophie, la littérature et la film～",twitter,867,1610,1904
twitter/139939314,defcfun@mas.to,"Gentoo/macOS, C/C++, Erlang, Rust, Common Lisp https://t.co/hAfvcKzcfx",twitter,3818,617,4406
twitter/740201304513880064,Halloween,"",twitter,614,290,11129
twitter/2606190247,Danielle,"Conservative, pro-life and 2A supporter. Classy with a savage side. @TugboatPhil is my favorite!❤️ My tweets are my own. 🇺🇸🇺🇸",twitter,5378,9708,213231
twitter/1110768690495135744,Hansheng Huang,以殺人為樂、以屠戮為榮、以群體滅絕為手段的政權，都是人民的敵人。而為那些嗜血惡魔歌功頌德、粉飾其為“英雄”、“救星”、“領袖”的人，都是無恥和可悲的。共匪未滅，何以家為？自由萬歲！民主必勝！大丈夫當如漢高魏武。,twitter,4343,1016,5941
twitter/19477583,Susanna Reid,"Presenter, journalist. @itv @gmb gmb@itv.com  Honorary Patron @palaceforlife",twitter,9085,870028,39621
twitter/1559976934360104960,Ruben The Norse Whisperer supports Ukraine 🇺🇦,"Father, grandfather, army & prison chaplain, writer, a pain in the neck, but still kinda nice, Afghanistan vet, smart, blue, fluent in sarcasm, V-Rod rider.",twitter,5481,6408,20942
twitter/1546061877406380032,Li Bo,浩浩阴阳移 年命如朝露,twitter,351,483,22878
twitter/1518889089084370944,Lord Thandar,"USAF Retired, Happily Married, Loves America and Freedom, Critical Thinker, History buff, Gamer, News Junkie. #MAGA #MAHA 🇺🇲🇨🇦🇬🇧",twitter,58037,94405,427186
twitter/1658279324,Eugene Puryear,"Host, @BTnewsroom, Revolutionary, lover of books, author of Shackled and Chained: Mass Incarceration in Capitalist America. member @PSLnational.",twitter,7167,47962,31186
twitter/1653825464920580106,王菊展览馆,王菊展览馆现任馆长，爱好研究王菊，收藏王菊的档案 投稿王菊历史言行：wangju_museum@proton.me,twitter,423,639,9377
twitter/1549495809216892928,Dermot Foley,The day wasn't wasted.,twitter,4234,2888,51226
twitter/274158143,Neil Thomas 牛犇,Fellow on Chinese Politics @AsiaSociety. Via @EurasiaGroup @MacroPoloChina @Harvard. Words @WashingtonPost @ForeignPolicy @LowyInstitute etc. Views my own. 🇦🇺,twitter,3948,28176,3629
twitter/759297870583439360,Sher Bahadur,"",twitter,7477,4744,1024926
twitter/374821635,guofeixiong,"",twitter,169,1434,52
twitter/1556130292381143043,Field scenery,"Open heart, not only eyes👁👁,  to love 💞what love (FB💯)",twitter,9610,8681,7490
twitter/1597439005653893120,牛魔王(互粉互FO),用中国道家思想观察世界 Observing the World through Chinese Taoist Thought,twitter,3390,3107,1402
twitter/975065801681072128,Elon is my HERO,NEVER EVER EVER EVER 1984,twitter,1622,762,11392
twitter/22501421,Nadine 🇵🇸 #FreePalestine 🇨🇩 #FreeCongo,Birthday is on July 16! #freeSudan,twitter,4128,3859,211672
twitter/1518731954975387648,Jackie Shannara 🇺🇸 ❤️✝️,"Super Patriot 🇺🇸 Believer✝️  President Trump supporter🇺🇸❤️🌹NO DMs, NO Porn  #Trump #MAGA #ChristIsKing",twitter,31317,30634,95730
twitter/977861017094017025,freedom,"",twitter,966,80,422
twitter/1764481138662473728,羊又走丢了,吾心向神州，万物无可惧！  ❤️👍互fo，粉赞，关注必回咩 ~。~,twitter,1693,7438,12189
twitter/3084344493,何不食肉糜（互fo）,既不红，也不黑，既不唱赞歌，也不反国反党，灰不溜秋，瞎活着呢！ 不私信！谢谢！互关互fo！,twitter,4225,3032,4994
twitter/1851090568132362241,陈🐟晨maggie（互fo）,小城休闲客，爱❤️祖国，爱生活！ 一日三餐，四季轮回，温柔有趣！ 粉上 #刘宇宁,twitter,7175,6059,2685
twitter/2824298290,OgiOgilthorpe,"People Fan, Sports and Music Fan.",twitter,6395,1886,34143
twitter/1813685918445826048,精神科操主任,北桥红房子老精中。主治思维障碍、智能障碍、情感障碍、意志障碍和自知力障碍等引起的行为异常。,twitter,225,215,4200
twitter/1011008340367953920,Wilfred Reilly,"A college professor now, I am a former corporate executive, freedom rider, law student, and poor kid. Butlerian Jihad Advocate. Karen Appreciator.",twitter,3397,148816,124148
twitter/875791392659963905,World birds,"",twitter,20071,96684,30191
twitter/1655821215708368896,mahrukh,we've made it this far,twitter,2081,8605,13766
twitter/165110690,존파워,Asia Business Editor   @AJENews. Former @SCMPNews. FOIA enthusiast. Open to pitches. powerj@aljazeera.net johnpowermedia@protonmail.com. DM for Signal.,twitter,6403,4621,5583
twitter/1322502769685639168,Cheng-Wei Lai,"from Taiwan. sharing about international geopolitics and military stuffs in Taiwan, China and Ukraine. views on my own. retweet doesn’t mean approval.",twitter,1988,15545,29705
twitter/1676612209366138881,蓝鹊,在2025年2月21日顶部看空清空发推，4月22日-5月1日期间都是公开发推看多，是经受了一轮大考验的人。值得珍惜，嘿嘿。  降噪，记录自己，只和趋势线操作同道/强逻辑做股者交流，信任自己做好自己，市场是唯一的老师，所以远离迷信机构/迷信专业者。  会买的是徒弟，会卖的是师傅，会空仓的才是祖师爷 - 我还是徒弟中,twitter,1792,5095,5006
twitter/1631111995847213057,妹子在Hakka,甜系客家美女，爱生活，爱运动，爱你们！（互fo互粉会变美变帅✨）follow me😍,twitter,2844,14672,5626
twitter/1081332826409222144,kateneuropsych Dr. Kate Shaw MA/MS/PsyD Auntie Fa,Recent: Research/Clinical Neuropsychology PostDoc Harvard/Boston Univ/Boston VA Consortium Nat'l Translat'l Research TBI & Stress Disorders & Genocide Scholar,twitter,0,5768,352828
twitter/3403114527,John Brennan,"Retired Educator & HR director. Habs & Jays fan. 5 years cancer free. We need more  compassion, respect and empathy. Opinions are my own. No DM’s please",twitter,4021,4046,9878
twitter/1393030394174484484,Advocate For Education 📚🇺🇸,Mom 💙 Advocate 💪 America 1st 🇺🇸Uncomfortable Conversations™️ #spaceshost  @uncomfortconvos,twitter,6765,12425,45455
twitter/5728782,李大牙,险韵诗成，扶头酒醒。,twitter,608,1871,3405
twitter/873406418723807232,tttttttttttti,function questions ('ça va ?') {    return 'ça va pas ?' },twitter,1087,39,892
twitter/467102254,象牙山刘能,生活有时是喜剧，有时是悲剧，但是不管什么时候都可以发段子。｜因为淋过雨，看别人淋雨的时候，送上录音笔。｜先天离婚圣体，古希腊掌管录音笔的神。｜https://t.co/w5SkYgz0KA 〔备用账号 @shadiaofriend〕,twitter,598,42138,16465
twitter/1636344637010116608,鶴橋,中國者，中國人之中國也。孰為中國人？ 漢人是也。中國歷史者，漢人之歷史也。,twitter,94,324,1916
twitter/1708616449,Dr. Lin Zhang,"Innovation, Labor, Intersectionality. Author of Labor of Reinvention (Columbia). Associate Prof @UofNH. Working on a book abt transnational bioeconomy",twitter,3731,5585,5547
twitter/22507069,P H Yang Photography,Photojournalist / World Traveler with a Passion for Worthy Causes. Be a Change Agent for Good! Live with Passion!,twitter,410,2129,17925
twitter/1789837129247531008,✠✝️🇦🇹茉莉奶茶🇯🇵🌸🧋,轉化為血十字復仇型態 貓貓：@honxine8964 妹妹：@6thCutek1tten 鼠鼠：@kazuko045 外文推：@assam228226 液態貓貓：@owl8964cat 閨蜜：@Je1nFaur_l 好朋友：@Kirayoumiya @brandon94623 🐶酋長/懶覺二世@Litiao10560,twitter,2782,4045,24433
twitter/1555271438902431744,CaseyHoium 💙 🟦,No DMs Please.,twitter,2147,706,3753
twitter/1439839632997318656,Vand Ni｜Asian bro,正直的 Web3 Native ｜ 点蜡烛的人🕯️｜充满乐观与活力的 Builder；善良第一， 社区的头号客服，做个有人格魅力的 Researcher,twitter,4607,38634,10986
twitter/139948665,中等缘 （红叶🍁超时空战队）,此生缘于前世因，来世皆为今生果.,twitter,682,606,1739
twitter/1398554743279001604,خانم رمضانی,یه دهه شصتی انقلابی/ فعال مسجدی/ و به روایتی ساندیس خور😊,twitter,3340,3055,18925
twitter/1454848059268079617,Ken,"U.S Army OIF Vet, 13M, proficient in 4 languages, investor, Airframe technician. Everything that has a beginning has an end Neo.",twitter,4818,7258,75276
twitter/1103989035045797889,🦈瀬҉̥͉͖͖͓͓͚̖̳̠̖͇̦͌́͛̈́̑̊̂͐͊̓̽̌̒ノ҈̆̌̽̈́̑͆ 本҈̕ほむら❤️‍🔥,在藍巴勒海峽呼喚愛 #桐生会に栄光あれ,twitter,3981,1159,67894
twitter/22508473,Oversight Committee,House Committee on Oversight and Government Reform Est. 1814 | Chairman @RepJamesComer,twitter,9274,357711,25968
